headline,url,author,pubdate
Tulip fields bloom at Wooden Shoe Tulip Farm,http://registerguard.com/rg/photo/35478498-321/tulip-fields-bloom-at-wooden-shoe-tulip-farm.html.csp,Brian Davies,2017-04-12 16:39:01
Great Horned Owl chick renested,http://registerguard.com/rg/photo/35473780-321/great-horned-owl-chick-renested.html.csp,Brian Davies,2017-04-11 10:21:00
Urban elk,http://registerguard.com/rg/photo/35471844-321/urban-elk.html.csp,Chris Pietsch,2017-04-10 17:47:01
Ducks fall to Tar Heels in March Madness Final Four semifinal,http://registerguard.com/rg/sports/basketball/35440048-61/ducks-fall-to-tar-heels-in-march-madness-final-four-semifinal.html.csp,Andy Nelson,2017-04-01 16:38:01
Fleeing felon arrested after crash on Washington-Jefferson Bridge,http://registerguard.com/rg/photo/35430496-321/fleeing-felon-arrested-after-crash-on-washington-jefferson-bridge.html.csp,Collin Andrew,2017-03-29 17:27:01
Ducks find magic on home course,http://registerguard.com/rg/photo/35427610-321/ducks-find-magic-on-home-course.html.csp,Collin Andrew,2017-03-28 21:06:02
March Madness: Oregon over Kansas 74-60 in the NCAA Midwest Regional final,http://registerguard.com/rg/photo/35418402-321/march-madness-oregon-over-kansas-74-60-in-the-ncaa-midwest-regional-final.html.csp,Andy Nelson,2017-03-25 20:41:03
Oregon Ducks baseball rallies for 4-3 victory over No. 22 Washington Huskies,http://registerguard.com/rg/photo/35416586-321/oregon-ducks-baseball-rallies-for-4-3-victory-over-no.-22-washington-huskies.csp,Collin Andrew,2017-03-25 08:54:01
Rosie the Riveter Day,http://registerguard.com/rg/photo/35410274-321/rosie-the-riveter-day.html.csp,Brian Davies,2017-03-23 10:39:01
Oregon Women in The Sweet 16,http://registerguard.com/rg/photo/35401279-321/oregon-women-in-the-sweet-16.html.csp,Gerry Broome,2017-03-20 18:21:00
"Oregon Men defeat Rhode Island, advance to Sweet 16",http://registerguard.com/rg/sports/basketball/35398415-61/oregon-men-defeat-rhode-island-advance-to-sweet-16.html.csp,Andy Nelson,2017-03-19 19:20:00
Oregon Women in NCAA against Temple,http://registerguard.com/rg/photo/35394922-321/oregon-women-in-ncaa-against-temple.html.csp,Gerry Broome,2017-03-18 16:39:01
March Madness: Oregon vs. Iona NCAA Mens Basketball,http://registerguard.com/rg/photo/35390208-321/march-madness-oregon-vs.-iona-ncaa-mens-basketball.csp,Andy Nelson,2017-03-17 11:09:14
Oregon Pro Day,http://registerguard.com/rg/photo/35388003-321/oregon-pro-day.html.csp,Chris Pietsch,2017-03-16 17:49:01
Oregon Ducks softball team improves to 23-0,http://registerguard.com/rg/photo/35371206-321/oregon-ducks-softball-team-improves-to-23-0.html.csp,Collin Andrew,2017-03-12 08:56:00
NCAA indoor team title for Oregon Women,http://registerguard.com/rg/photo/35370006-321/ncaa-indoor-team-title-for-oregon-women.html.csp,Timothy Hurst,2017-03-11 19:38:01
"Pac-12 Basketball Tournament: Oregon 80, Arizona State 57",http://registerguard.com/rg/photo/35361252-321/pac-12-basketball-tournament-oregon-80-arizona-state-57.html.csp,The Associated Press,2017-03-09 13:40:10
Elton John rocks Matthew Knight Arena,http://registerguard.com/rg/photo/35349256-321/elton-john-rocks-matthew-knight-arena.html.csp,Collin Andrew,2017-03-06 08:40:01
"Principal pours time, money, self into boxing gym for students",http://registerguard.com/rg/photo/35340117-321/principal-pours-time-money-self-into-boxing-gym-for-students.html.csp,Brian Davies,2017-03-05 06:22:27
Oregon wins Civil War,http://registerguard.com/rg/sports/basketball/35344946-61/oregon-wins-civil-war.html.csp,Chris Pietsch,2017-03-04 19:55:01
Oregon Men’s Basketball beats Colorado 101-73,http://registerguard.com/rg/sports/basketball/35296631-61/oregon-mens-basketball-beats-colorado-101-73.html.csp,Collin Andrew and Chris Pietsch,2017-02-18 16:30:01
The Marcus Mariota Sports Performance Center,http://registerguard.com/rg/photo/35271976-321/the-marcus-mariota-sports-performance-center.html.csp,Chris Pietsch,2017-02-11 11:07:01
Past meets present,http://registerguard.com/rg/photo/35269070-321/past-meets-present.html.csp,Collin Andrew,2017-02-10 10:38:56
Oregon Ducks rout Arizona Wildcats to force tie atop Pac-12,http://registerguard.com/rg/photo/35250556-321/oregon-ducks-rout-arizona-wildcats-to-force-tie-atop-pac-12.html.csp,Collin Andrew,2017-02-04 19:19:01
Oregon Men’s Basketball avoid Arizona State upset,http://registerguard.com/rg/sports/basketball/35245770-61/oregon-mens-basketball-avoid-arizona-state-upset.html.csp,Andy Nelson,2017-02-03 11:46:02
"Eugene Rally Against ""The Muslim Ban""",http://registerguard.com/rg/photo/35228326-321/eugene-rally-against-the-muslim-ban.html.csp,Rhianna Gelhart and Amiran White,2017-01-29 14:02:01
"No. 11 Oregon State women’s basketball team holds off Oregon Ducks, 43-40",http://registerguard.com/rg/photo/35224514-321/no.-11-oregon-state-womens-basketball-team-holds-off-oregon-ducks-43-40.csp,Collin Andrew,2017-01-28 07:48:02
Protesters demonstrate their rage toward the new president,http://registerguard.com/rg/photo/35201533-321/protesters-demonstrate-their-rage-toward-the-new-president.html.csp,The Associated Press,2017-01-21 15:12:50
Women’s March in downtown Eugene draws thousands,http://registerguard.com/rg/photo/35201574-321/womens-march-in-downtown-eugene-draws-thousands.html.csp,Collin Andrew and Rhianna Gelhart,2017-01-21 15:12:50
Inauguration of President Donald J. Trump,http://registerguard.com/rg/photo/35197921-321/inauguration-of-president-donald-j.-trump.csp,The Associated Press,2017-01-20 11:01:15
"Ducks men’s basketball rout Beavers, 85-43",http://registerguard.com/rg/photo/35181230-321/ducks-mens-basketball-rout-beavers-85-43.html.csp,Collin Andrew,2017-01-15 08:22:01
Panthers win their 80th consecutive,http://registerguard.com/rg/photo/35178044-321/panthers-win-their-80th-consecutive.html.csp,Collin Andrew,2017-01-14 08:34:01
A look back at Obama in Oregon,http://registerguard.com/rg/photo/35169132-321/a-look-back-at-obama-in-oregon.html.csp,Photo Staff,2017-01-11 15:09:32
Inclement winter weather continues in southern Willamette Valley,http://registerguard.com/rg/photo/35156884-321/inclement-winter-weather-continues-in-southern-willamette-valley.html.csp,Collin Andrew and Chris Pietsch,2017-01-07 17:15:27
Ice and snow 2017,http://registerguard.com/rg/photo/35146533-321/ice-and-snow-2017.html.csp,Photo Staff,2017-01-04 13:22:01
What's new at the Eugene Airport?,http://registerguard.com/rg/photo/35142942-321/whats-new-at-the-eugene-airport.html.csp,Chris Pietsch,2017-01-03 10:01:01
Oregon defeats USC 84-61 for 11th straight win,http://registerguard.com/rg/photo/35135174-321/oregon-defeats-usc-84-61-for-11th-straight-win.html.csp,Collin Andrew,2016-12-31 00:26:02
Oregon defeats UCLA 89-87,http://registerguard.com/rg/sports/basketball/35130659-61/oregon-defeats-ucla-89-87.html.csp,Brian Davies,2016-12-29 16:31:01
2016 Year in pictures: The games we play,http://registerguard.com/rg/photo/35122290-321/2016-year-in-pictures-the-games-we-play.html.csp,Photo Staff,2016-12-26 08:58:13
2016 Year in Pictures,http://registerguard.com/rg/photo/35120658-321/2016-year-in-pictures.html.csp,Photo Staff,2016-12-24 18:44:24
2016 Year in pictures: When news breaks,http://registerguard.com/rg/photo/35118491-321/2016-year-in-pictures-when-news-breaks.html.csp,Photo Staff,2016-12-23 16:41:01
2016 Year in pictures: What democracy looks like,http://registerguard.com/rg/photo/35116568-321/2016-year-in-pictures-what-democracy-looks-like.html.csp,Photo Staff,2016-12-22 21:28:01
