headline,url,author,pubdate,video
Abandoned puppy rescued,http://registerguard.com/rg/video/35269390-319/abandoned-puppy-rescued.html.csp,Chris Pietsch,2017-02-10 12:37:01,https://www.youtube.com/watch?v=c9sEg7YsS_I
A drone tour of south Willamette Street,http://registerguard.com/rg/video/35266330-319/a-drone-tour-of-south-willamette-street.html.csp,Rob Romig,2017-02-09 15:56:01,https://www.youtube.com/watch?v=UL2i-7Eq15s
Hoping for help,http://registerguard.com/rg/video/35259069-319/hoping-for-help.html.csp,Kelly Lyon,2017-02-07 17:09:01,https://www.youtube.com/watch?v=ixncQ8qfY4I
On a snowshoe trek,http://registerguard.com/rg/video/35237918-319/on-a-snowshoe-trek.html.csp,Kelly Fenley,2017-02-03 09:57:23,https://www.youtube.com/watch?v=xZXOzpz-fXw
A taste of Lola’s Fruit Shrubs,http://registerguard.com/rg/video/35242723-319/a-taste-of-lolas-fruit-shrubs.html.csp,Kelly Lyon,2017-02-02 15:37:01,https://www.youtube.com/watch?v=THKKHtnVDWw
World Hijab Day,http://registerguard.com/rg/video/35239575-319/world-hijab-day.html.csp,Kelly Lyon,2017-02-01 19:07:01,https://www.youtube.com/watch?v=-rnXdXeYKI4
Signing day: The #DoSomething brand,http://registerguard.com/rg/video/35239042-319/signing-day-the-dosomething-brand.html.csp,Chris Pietsch,2017-02-01 16:55:01,https://www.youtube.com/watch?v=WrCJgAA0vs8
Signing Day: Negatives and positives,http://registerguard.com/rg/video/35238032-319/signing-day-negatives-and-positives.html.csp,Chris Pietsch,2017-02-01 12:22:01,https://www.youtube.com/watch?v=ELMBrkxoU1A
Good Walks: Winter wander along Willamette River,http://registerguard.com/rg/video/35221999-319/good-walks-winter-wander-along-willamette-river.html.csp,Kim Gilbert,2017-01-27 12:01:32,https://www.youtube.com/watch?v=wkKGIly6P80
Cultivating a culinary treasure,http://registerguard.com/rg/video/35198928-319/cultivating-a-culinary-treasure.html.csp,Kelly Lyon,2017-01-20 17:06:35,https://www.youtube.com/watch?v=JjVinlObgbA
Patience through woodcrafting,http://registerguard.com/rg/video/35195503-319/patience-through-woodcrafting.html.csp,Kelly Lyon,2017-01-19 17:49:01,https://www.youtube.com/watch?v=6T8NR_YfSn0
Cascading river getaway,http://registerguard.com/rg/video/35183871-319/cascading-river-getaway.html.csp,Kelly Lyon,2017-01-16 09:31:02,https://www.youtube.com/watch?v=nLEJLZt7Gqo
Damaged tree triage,http://registerguard.com/rg/video/35172666-319/damaged-tree-triage.html.csp,Kelly Lyon,2017-01-12 15:21:19,https://www.youtube.com/watch?v=VPSxG6v5gGA
United in pink,http://registerguard.com/rg/video/35166240-319/united-in-pink.html.csp,Kelly Lyon,2017-01-10 18:45:01,http://www.youtube.com/watch?v=XP1OGrcvcv0
Call a spade a flower,http://registerguard.com/rg/video/35164750-319/call-a-spade-a-flower.html.csp,Kelly Lyon,2017-01-10 09:57:10,https://www.youtube.com/watch?v=z3aLBK-BmVQ
Treacherous driving conditions,http://registerguard.com/rg/video/35156018-319/treacherous-driving-conditions.html.csp,Chris Pietsch,2017-01-07 13:27:01,http://www.youtube.com/watch?v=WPYlkMuipUY
So what if it’s winter! Work it out,http://registerguard.com/rg/video/35152938-319/so-what-if-its-winter-work-it-out.html.csp,Kelly Lyon,2017-01-06 09:51:41,https://www.youtube.com/watch?v=oOXmtEfXI4o
First snowstorm of 2017,http://registerguard.com/rg/video/35146140-319/first-snowstorm-of-2017.html.csp,Chris Pietsch,2017-01-04 10:45:01,https://www.youtube.com/watch?v=qt3pD7zXH50
Counting for a cause,http://registerguard.com/rg/video/35139508-319/counting-for-a-cause.html.csp,Kelly Lyon,2017-01-01 19:08:01,https://www.youtube.com/watch?v=SGBkl5YhGPo
Springfield’s Flame,http://registerguard.com/rg/video/35129683-319/springfields-flame.html.csp,Kelly Lyon,2016-12-29 08:51:08,https://www.youtube.com/watch?v=DnYoa3jAruk
Good Walks: Glad ocean tidings in Newport,http://registerguard.com/rg/video/35117627-319/good-walks-glad-ocean-tidings-in-newport.html.csp,Kim Gilbert,2016-12-23 10:41:20,https://www.youtube.com/watch?v=5D9cW5HXeH0
Pushing for Power,http://registerguard.com/rg/video/35112508-319/pushing-for-power.html.csp,Kelly Lyon,2016-12-21 18:48:01,https://www.youtube.com/watch?v=OQCVT9PCQVc
Drone video: Storm’s icy grip,http://registerguard.com/rg/video/35098240-319/drone-video-storms-icy-grip.html.csp,Rob Romig,2016-12-16 22:02:02,https://www.youtube.com/watch?v=yfxEOUMauaA
Ice storm cuts off Hawkins Heights,http://registerguard.com/rg/video/35093619-319/ice-storm-cuts-off-hawkins-heights.html.csp,Chris Pietsch,2016-12-15 13:43:01,https://www.youtube.com/watch?v=A1ctdfgkEy0
Readers get a holiday treat,http://registerguard.com/rg/video/35091410-319/readers-get-a-holiday-treat.html.csp,Kelly Lyon,2016-12-14 20:03:01,https://www.youtube.com/watch?v=t_x33QwCzDM
"Life, football and bringin' the “juice!”",http://registerguard.com/rg/video/35074759-319/life-football-and-bringin-the-juice.html.csp,Chris Pietsch,2016-12-09 15:59:01,https://www.youtube.com/watch?v=gnmq5ndfqyk
Monster project house,http://registerguard.com/rg/video/35071471-319/monster-project-house.html.csp,,2016-12-08 15:56:05,https://www.youtube.com/watch?v=3xuWv7jN2wE
20 Under 40 Awards presentation,http://registerguard.com/rg/video/35067468-319/20-under-40-awards-presentation.html.csp,Kelly Lyon,2016-12-07 14:21:01,https://www.youtube.com/watch?v=xkClA2jXp0Y
"""Poor trajectory"" and sad goodbyes",http://registerguard.com/rg/video/35042879-319/poor-trajectory-and-sad-goodbyes.html.csp,Chris Pietsch,2016-11-30 13:24:01,https://www.youtube.com/watch?v=waMvXMpBOVQ
AD Rob Mullens fires Helfrich,http://registerguard.com/rg/video/35041116-319/ad-rob-mullens-fires-helfrich.html.csp,Chris Pietsch,2016-11-29 21:20:02,https://www.youtube.com/watch?v=m6hr7XqOeQk
Whiteaker steps up for dinner,http://registerguard.com/rg/video/35022106-319/whiteaker-steps-up-for-dinner.html.csp,Kelly Lyon,2016-11-23 18:13:01,https://www.youtube.com/watch?v=ce9gw9FKLoM
Spice it up with herbs,http://registerguard.com/rg/video/35020361-319/spice-it-up-with-herbs.html.csp,Kelly Lyon,2016-11-23 08:17:22,https://www.youtube.com/watch?v=y79qKq6L1xg
Oregon's Devon Allen turns pro,http://registerguard.com/rg/video/34999725-319/oregons-devon-allen-turns-pro.html.csp,Chris Pietsch,2016-11-17 10:54:02,https://www.youtube.com/watch?v=iWlka0b07JY
Dare to escape,http://registerguard.com/rg/video/34977774-319/dare-to-escape.html.csp,Kelly Lyon,2016-11-11 10:02:21,http://www.youtube.com/watch?v=1WurIIiRNUE
Anti-Trump rally in Eugene,http://registerguard.com/rg/video/34970267-319/anti-trump-rally-in-eugene.html.csp,Chris Pietsch,2016-11-09 01:46:02,http://www.youtube.com/watch?v=rx6MVAikgTM
Beer by the (Plato) numbers,http://registerguard.com/rg/video/34965891-319/beer-by-the-plato-numbers.html.csp,Kelly Lyon,2016-11-07 15:42:56,https://www.youtube.com/watch?v=FWfJEI9wbj0
An Iron Welcome,http://registerguard.com/rg/video/34950438-319/an-iron-welcome.html.csp,Kelly Lyon,2016-11-02 18:40:05,https://www.youtube.com/watch?v=GxPhol1pNVY
Mediterranean Network,http://registerguard.com/rg/video/34945851-319/mediterranean-network.html.csp,Kelly Lyon,2016-11-01 12:39:01,https://www.youtube.com/watch?v=kqebG787B3k
Ah Sam puts on a show in last football game,http://registerguard.com/rg/video/34936562-319/ah-sam-puts-on-a-show-in-last-football-game.html.csp,Collin Andrew,2016-10-29 08:07:01,https://www.youtube.com/watch?v=HdPZUUncf3M
Glass-O-Lanterns,http://registerguard.com/rg/video/34928822-319/glass-o-lanterns.html.csp,Kelly Lyon,2016-10-26 18:28:01,https://www.youtube.com/watch?v=61LrlC7cwsA
OSU's Wayne and Tres Tinkle cheer the Cubs in championship series,http://registerguard.com/rg/video/34916210-319/osus-wayne-and-tres-tinkle-cheer-the-cubs-in-championship-series.html.csp,Chris Pietsch,2016-10-22 15:14:01,https://www.youtube.com/watch?v=FC4A9BeVjHM
Good Walks: See a side of fall at Sweet Creek Falls,http://registerguard.com/rg/video/34913111-319/good-walks-see-a-side-of-fall-at-sweet-creek-falls.html.csp,Kim Gilbert,2016-10-21 11:18:34,https://www.youtube.com/watch?v=jFBqUZ53w5E
Someone to crow about,http://registerguard.com/rg/video/34892538-319/someone-to-crow-about.html.csp,Kelly Lyon,2016-10-14 11:02:10,http://www.youtube.com/watch?v=7ItaroJtdk8
A lifetime of costumery,http://registerguard.com/rg/video/34888319-319/a-lifetime-of-costumery.html.csp,Kelly Lyon,2016-10-12 22:06:01,https://www.youtube.com/watch?v=GiSexklTJAk
Conquering concussion,http://registerguard.com/rg/video/34884716-319/conquering-concussion.html.csp,Chris Pietsch and Collin Andrew,2016-10-11 15:49:01,https://www.youtube.com/watch?v=vLUzMY9HLGA
Celebrate with henna,http://registerguard.com/rg/video/34872964-319/celebrate-with-henna.html.csp,Kelly Lyon,2016-10-07 10:21:43,https://www.youtube.com/watch?v=TlF6XI08Gig
UO gets a new EMU,http://registerguard.com/rg/video/34868106-319/uo-gets-a-new-emu.html.csp,Kelly Lyon,2016-10-05 16:29:02,https://www.youtube.com/watch?v=r_9ZpwU9LdY
Putting the wild in Wildcraft Cider Works,http://registerguard.com/rg/video/34864584-319/putting-the-wild-in-wildcraft-cider-works.html.csp,Kelly Lyon,2016-10-04 14:56:01,https://www.youtube.com/watch?v=tnAbZMHjpMQ
Broga for everyone,http://registerguard.com/rg/video/34860506-319/broga-for-everyone.html.csp,Kelly Lyon,2016-10-03 08:49:02,https://www.youtube.com/watch?v=jyNzkid7buY
LaVelle’s crush,http://registerguard.com/rg/video/34854055-319/lavelles-crush.html.csp,Kelly Lyon,2016-10-01 07:32:32,http://www.youtube.com/watch?v=dKEt3e9OaH4
Tikal Latin Flavor,http://registerguard.com/rg/video/34841331-319/tikal-latin-flavor.html.csp,Kylie Juggert,2016-09-27 16:34:01,https://www.youtube.com/watch?v=YKERtF5uihI
Good Walks: To the top of Tidbits Mountain,http://registerguard.com/rg/video/34827127-319/good-walks-to-the-top-of-tidbits-mountain.html.csp,Kim Gilbert,2016-09-23 10:00:37,https://www.youtube.com/watch?v=8WKNkIIyryc
‘Waterfall’ bathroom theme,http://registerguard.com/rg/video/34827023-319/waterfall-bathroom-theme.html.csp,,2016-09-23 09:21:45,https://www.youtube.com/watch?v=-bcDrRq1haQ
Savanna restoration begins,http://registerguard.com/rg/video/34801747-319/savanna-restoration-begins.html.csp,Kelly Lyon,2016-09-15 16:36:01,https://www.youtube.com/watch?v=rwRREbEi8Ys
The Ice Cream Man,http://registerguard.com/rg/video/34798416-319/the-ice-cream-man.html.csp,Kylie Juggert,2016-09-14 16:50:00,https://www.youtube.com/watch?v=qnSeiC4nAKk
Camas Country Schoolhouse Bakery and Store,http://registerguard.com/rg/video/34781466-319/camas-country-schoolhouse-bakery-and-store.html.csp,Collin Andrew,2016-09-09 16:12:39,http://www.youtube.com/watch?v=jHF3TgbH-y4
Brand new school welcomes students,http://registerguard.com/rg/video/34778224-319/brand-new-school-welcomes-students.html.csp,Kelly Lyon,2016-09-08 15:10:01,https://www.youtube.com/watch?v=Z3P1HO0BMlk
Sebastian's Story,http://registerguard.com/rg/video/34775415-319/sebastians-story.html.csp,Kylie Juggert,2016-09-07 18:29:01,https://www.youtube.com/watch?v=hkJXbJb-NxM
Century Farm: The legacy of 150 years,http://registerguard.com/rg/video/34764508-319/century-farm-the-legacy-of-150-years.html.csp,Kylie Juggert,2016-09-04 08:35:31,https://www.youtube.com/watch?v=ZBQZy39Lgok
South Eugene falls to Madison in season opener,http://registerguard.com/rg/video/34760587-319/south-eugene-falls-to-madison-in-season-opener.html.csp,Andy Nelson,2016-09-03 00:17:01,https://www.youtube.com/watch?v=xi4kKFFYxrc
Best seats in the house,http://registerguard.com/rg/video/34757796-319/best-seats-in-the-house.html.csp,Kelly Lyon,2016-09-02 10:21:35,https://www.youtube.com/watch?v=Gv2YMPYDGKY
New mural brightens downtown,http://registerguard.com/rg/video/34753996-319/new-mural-brightens-downtown.html.csp,Kelly Lyon,2016-09-01 08:12:01,https://www.youtube.com/watch?v=NiFlr7FrFU0
Burpees for cancer,http://registerguard.com/rg/video/34746738-319/burpees-for-cancer.html.csp,Kelly Lyon,2016-08-30 08:04:01,https://www.youtube.com/watch?v=7zULzHiN4sI
"Good Walks: Crashing, smashing beauties",http://registerguard.com/rg/video/34735714-319/good-walks-crashing-smashing-beauties.html.csp,Kim Gilbert,2016-08-26 15:10:37,https://www.youtube.com/watch?v=AO4qovK9bek
Spicing it up with barrels,http://registerguard.com/rg/video/34729956-319/spicing-it-up-with-barrels.html.csp,Kelly Lyon,2016-08-25 08:59:01,https://www.youtube.com/watch?v=NaF_w39NPTE
Un poquito picoso,http://registerguard.com/rg/video/34728464-319/un-poquito-picoso.html.csp,Chris Pietsch,2016-08-24 11:39:00,https://www.youtube.com/watch?v=iAEsGwS5KXo
Farm-fresh Rain Northwest,http://registerguard.com/rg/video/34711756-319/farm-fresh-rain-northwest.html.csp,Kelly Lyon,2016-08-19 13:45:25,https://www.youtube.com/watch?v=qbl0aeDY7BI
Willamettans: The freedom of nudity,http://registerguard.com/rg/video/34690614-319/willamettans-the-freedom-of-nudity.html.csp,Kylie Juggert,2016-08-14 17:51:00,http://www.youtube.com/watch?v=fmNDoCWJefM
New children’s book keeps Bigfoot legend alive,http://registerguard.com/rg/video/34679906-319/new-childrens-book-keeps-bigfoot-legend-alive.html.csp,Kelly Lyon,2016-08-12 10:36:49,https://www.youtube.com/watch?v=EFYyW1mffu8
Hoopers attempt to break record,http://registerguard.com/rg/video/34677408-319/hoopers-attempt-to-break-record.html.csp,Kelly Lyon,2016-08-11 18:14:00,https://www.youtube.com/watch?v=Fgxsh1Oz8hA
Good luck Devon Allen,http://registerguard.com/rg/video/34670211-319/good-luck-devon-allen.html.csp,Chris Pietsch,2016-08-10 08:48:00,https://www.youtube.com/watch?v=g7B6u5urBOs
Ballet Storybook Dance Camp,http://registerguard.com/rg/video/34668234-319/ballet-storybook-dance-camp.html.csp,Kylie Juggert,2016-08-09 19:06:00,https://www.youtube.com/watch?v=7X9KykbQaT0
Flavors of Scandinavia,http://registerguard.com/rg/video/34649668-319/flavors-of-scandinavia.html.csp,Collin Andrew,2016-08-05 12:45:49,https://www.youtube.com/watch?v=nmRuucjgj4Y
Women’s Institute on Leadership and Disability,http://registerguard.com/rg/video/34639701-319/womens-institute-on-leadership-and-disability.html.csp,Kelly Lyon,2016-08-02 15:19:01,https://www.youtube.com/watch?v=PyIAscabZ0A
KWVA rocks new studios,http://registerguard.com/rg/video/34628663-319/kwva-rocks-new-studios.html.csp,Kelly Lyon,2016-07-29 22:42:01,http://www.youtube.com/watch?v=xAyNTIPoJHE
Ukulele Camp,http://registerguard.com/rg/video/34627555-319/ukulele-camp.html.csp,Kylie Juggert,2016-07-29 16:49:01,https://www.youtube.com/watch?v=miWXTIAsH3s
Athletes get excited for Summer Series,http://registerguard.com/rg/video/34624103-319/athletes-get-excited-for-summer-series.html.csp,Kelly Lyon,2016-07-28 16:50:01,https://www.youtube.com/watch?v=2rRioPU-biw
Olympic Preview: Oregon's Stevens Rio bound,http://registerguard.com/rg/video/34619442-319/olympic-preview-oregons-stevens-rio-bound.html.csp,Chris Pietsch,2016-07-27 12:21:01,https://www.youtube.com/watch?v=O9L2U8mVhNU
Olympic Preview: Devon Allen is ready for Rio,http://registerguard.com/rg/video/34615276-319/olympic-preview-devon-allen-is-ready-for-rio.html.csp,Chris Pietsch,2016-07-26 11:22:01,https://www.youtube.com/watch?v=8H-BFNdNJ9Y
Olympic Preview: Washington named to 4x100 relay team,http://registerguard.com/rg/video/34613074-319/olympic-preview-washington-named-to-4x100-relay-team.html.csp,Chris Pietsch,2016-07-25 18:00:01,https://www.youtube.com/watch?v=7AgRBryYW-c
Stand-up paddleboard yoga,http://registerguard.com/rg/video/34602939-319/stand-up-paddleboard-yoga.html.csp,Collin Andrew,2016-07-22 11:32:32,https://www.youtube.com/watch?v=wdCToryW0pk
The ferris wheel through a child's eyes,http://registerguard.com/rg/video/34602699-319/the-ferris-wheel-through-a-childs-eyes.html.csp,Kylie Juggert,2016-07-22 09:50:01,https://www.youtube.com/watch?v=ZXb1j7gk_Uo
From football to fútbol: Real grass comes to Autzen Stadium,http://registerguard.com/rg/video/34594856-319/from-football-to-fútbol-real-grass-comes-to-autzen-stadium.html.csp,Kylie Juggert,2016-07-20 09:29:02,https://www.youtube.com/watch?v=gmEbuUA0fY0
PeaceHealth Sacred Heart Medical Center in Eugene marks 80 years,http://registerguard.com/rg/video/34592877-319/peacehealth-sacred-heart-medical-center-in-eugene-marks-80-years.html.csp,Kelly Lyon,2016-07-19 17:37:03,https://www.youtube.com/watch?v=tcI2rtuUjP8
Olympian Devon Allen is excused,http://registerguard.com/rg/video/34589463-319/olympian-devon-allen-is-excused.html.csp,Chris Pietsch,2016-07-18 16:43:01,https://www.youtube.com/watch?v=fr9UdYiukHo
This is NOT your father's yo-yo,http://registerguard.com/rg/video/34587508-319/this-is-not-your-fathers-yo-yo.html.csp,Chris Pietsch,2016-07-18 06:55:02,https://www.youtube.com/watch?v=65tGY3RbJrM
"Camp, Camera, Action!",http://registerguard.com/rg/video/34580784-319/camp-camera-action.html.csp,Kelly Lyon,2016-07-15 18:42:08,https://www.youtube.com/watch?v=ZvfxcVeuJYs
Young Women’s Fire Camp,http://registerguard.com/rg/video/34580048-319/young-womens-fire-camp.html.csp,Kylie Juggert,2016-07-15 14:59:01,https://www.youtube.com/watch?v=oh1mS_eZhow
Pizza perfect,http://registerguard.com/rg/video/34579194-319/pizza-perfect.html.csp,Kelly Lyon,2016-07-15 10:59:24,https://www.youtube.com/watch?v=AyM6F8Kjg8g
From Domaine Meriwether to Valhalla Winery,http://registerguard.com/rg/video/34576814-319/from-domaine-meriwether-to-valhalla-winery.html.csp,Kelly Lyon,2016-07-14 14:00:14,http://www.youtube.com/watch?v=-PWCkOZgGh0
Bluesy Tunes and Non-GMO Tofu: The Alves Brothers,http://registerguard.com/rg/video/34565435-319/bluesy-tunes-and-non-gmo-tofu-the-alves-brothers.html.csp,Kylie Juggert,2016-07-10 16:54:01,https://www.youtube.com/watch?v=RXA2bCNWDR0
Oregon Country Fair: Where tofu and music meet,http://registerguard.com/rg/video/34561094-319/oregon-country-fair-where-tofu-and-music-meet.html.csp,Kylie Juggert,2016-07-09 08:56:01,https://www.youtube.com/watch?v=0txgtl8xZZg
Christmas in June: Toilet Paper Drive,http://registerguard.com/rg/video/34556369-319/christmas-in-june-toilet-paper-drive.html.csp,Kylie Juggert,2016-07-07 21:55:43,https://www.youtube.com/watch?v=CdA3OfzE6Pg
Olympic Trials video: Oregon’s first Olympic Gold Medalist,http://registerguard.com/rg/video/34543561-319/olympic-trials-video-oregons-first-olympic-gold-medalist.html.csp,Chris Pietsch,2016-07-04 08:04:02,https://www.youtube.com/watch?v=7BJzs-A3sHY
Olympic Trials: Honoring the past,http://registerguard.com/rg/video/34540229-319/olympic-trials-honoring-the-past.html.csp,Chris Pietsch,2016-07-02 22:18:04,https://www.youtube.com/watch?v=YUX9giT0lYQ
The voice of Hayward Field,http://registerguard.com/rg/video/34539330-319/the-voice-of-hayward-field.html.csp,Kelly Lyon,2016-07-02 17:25:01,https://www.youtube.com/watch?v=lkTdPhiU4io
Playing the tasting game,http://registerguard.com/rg/video/34530748-319/playing-the-tasting-game.html.csp,Collin Andrew,2016-06-30 12:41:19,https://www.youtube.com/watch?v=XkyNdGb5oqA
"Olympic Trials preview: Eaton, Felix and Gatlin",http://registerguard.com/rg/video/34530749-319/olympic-trials-preview-eaton-felix-and-gatlin.html.csp,Kylie Juggert,2016-06-30 12:37:01,https://www.youtube.com/watch?v=QZ0G5o_YNSY
TrackTown16 Fan Zone,http://registerguard.com/rg/video/34529870-319/tracktown16-fan-zone.html.csp,Kelly Lyon,2016-06-30 08:44:01,https://www.youtube.com/watch?v=_HxWDYRyuuA
Good Walks: Summer rush,http://registerguard.com/rg/video/34510175-319/good-walks-summer-rush.html.csp,Kim Gilbert,2016-06-24 12:44:15,https://www.youtube.com/watch?v=ouI3dCL_HWw
World War II-era aircraft visit Eugene,http://registerguard.com/rg/video/34499385-319/world-war-ii-era-aircraft-visit-eugene.html.csp,Andy Nelson,2016-06-21 16:36:01,https://www.youtube.com/watch?v=97UXARmUj-Q
Restriping opinions,http://registerguard.com/rg/video/34488875-319/restriping-opinions.html.csp,Kelly Lyon,2016-06-18 08:26:32,http://www.youtube.com/watch?v=1WzX9IpRHM4
The soda king of Cottage Grove,http://registerguard.com/rg/video/34483823-319/the-soda-king-of-cottage-grove.html.csp,Kelly Lyon,2016-06-16 17:16:57,https://www.youtube.com/watch?v=gHdtmXnijfY
Shooting update from near the UCC shooting scene,http://registerguard.com/rg/video/34483287-319/shooting-update-from-near-the-ucc-shooting-scene.html.csp,Chelsea Gorrow,2016-06-16 14:36:47,https://www.youtube.com/watch?v=aalYIqNaLPY
Trump vs. Media,http://registerguard.com/rg/video/34483243-319/trump-vs.-media.csp,Chris Pietsch,2016-06-16 14:27:01,https://www.youtube.com/watch?v=MscKZaNr1kA
NCAA Track and Field Championships: Raevyn Rogers,http://registerguard.com/rg/video/34457870-319/ncaa-track-and-field-championships-raevyn-rogers.html.csp,Chris Pietsch,2016-06-09 09:07:01,https://www.youtube.com/watch?v=5n9zPe4h4Es
NCAA Championships: Devon Allen,http://registerguard.com/rg/video/34452532-319/ncaa-championships-devon-allen.html.csp,Chris Pietsch,2016-06-07 19:32:00,https://www.youtube.com/watch?v=wAF6bC_hud0
Agencies test emergency preparedness,http://registerguard.com/rg/video/34451657-319/agencies-test-emergency-preparedness.html.csp,Kelly Lyon,2016-06-07 15:10:01,https://www.youtube.com/watch?v=39E1darp_lo
Playtime is for adults,http://registerguard.com/rg/video/34438071-319/playtime-is-for-adults.html.csp,Collin Andrew,2016-06-03 11:49:48,https://www.youtube.com/watch?v=rJrr4niz8hU
Wheelchair Wrenchin’,http://registerguard.com/rg/video/34431623-319/wheelchair-wrenchin.html.csp,Kelly Lyon,2016-06-01 17:45:01,https://www.youtube.com/watch?v=FTjZqqVlhLw
Oregon’s sub-four legacy,http://registerguard.com/rg/video/34414651-319/oregons-sub-four-legacy.html.csp,Andy Nelson,2016-05-27 10:45:01,https://www.youtube.com/watch?v=RzVHjfgoUwY
Remembering Pre,http://registerguard.com/rg/video/34414285-319/remembering-pre.html.csp,Chris Pietsch,2016-05-27 08:15:32,https://www.youtube.com/watch?v=08Sh6iMw0oY
Thursday market in the Whit,http://registerguard.com/rg/video/34409072-319/thursday-market-in-the-whit.html.csp?autoStart=true,Kelly Lyon,2016-05-25 17:25:01,https://www.youtube.com/watch?v=INqJLuKlREY
Into the Beergarden,http://registerguard.com/rg/video/34408926-319/into-the-beergarden.html.csp,Collin Andrew,2016-05-25 16:31:18,https://www.youtube.com/watch?v=aBLHRJZ2wCA
Better with bitters,http://registerguard.com/rg/video/34405094-319/better-with-bitters.html.csp,,2016-05-25 09:36:21,https://www.youtube.com/watch?v=AbQzHNxz_PU
Dream farm back-story,http://registerguard.com/rg/video/34400976-319/dream-farm-back-story.html.csp,,2016-05-23 14:15:20,http://www.youtube.com/watch?v=O3wIu8DOzE0
Good Walks: Ridge with a view,http://registerguard.com/rg/video/34391618-319/good-walks-ridge-with-a-view.html.csp,Kim Gilbert,2016-05-20 11:40:26,https://www.youtube.com/watch?v=E69o7b8_yNE
A visit to the High Desert Museum,http://registerguard.com/rg/video/34389298-319/a-visit-to-the-high-desert-museum.html.csp,Collin Andrew,2016-05-19 17:04:08,https://www.youtube.com/watch?v=n-uyGE2YNtg
"An aerial guide to Eugene Country Club, host to the NCAA golf championships",http://registerguard.com/rg/video/34379799-319/an-aerial-guide-to-eugene-country-club-host-to-the-ncaa-golf-championships.html.csp,Rob Romig and Andy Nelson,2016-05-18 09:45:08,https://www.youtube.com/watch?v=NsWL60BIDMM
Wonders of the Samuel H. Boardman Scenic Corridor,http://registerguard.com/rg/video/34380249-319/wonders-of-the-samuel-h.-boardman-scenic-corridor.csp,Collin Andrew,2016-05-17 12:00:33,https://www.youtube.com/watch?v=k33GDU3sbPs
The spirit of Mount Angel Abbey,http://registerguard.com/rg/video/34377066-319/the-spirit-of-mount-angel-abbey.html.csp,Collin Andrew,2016-05-16 13:02:56,https://www.youtube.com/watch?v=XIXE3fOq-N0
Hot-air balloons light up the night,http://registerguard.com/rg/video/34377022-319/hot-air-balloons-light-up-the-night.html.csp,Collin Andrew,2016-05-16 12:21:20,https://www.youtube.com/watch?v=DFXun1eH4eM
Oregon Softball wins Pac-12 championship,http://registerguard.com/rg/video/34368344-319/oregon-softball-wins-pac-12-championship.html.csp,Chris Pietsch,2016-05-13 19:48:00,https://www.youtube.com/watch?v=SwSBoGgQdFQ
DIY: Build your own birdhouse,http://registerguard.com/rg/video/34366442-319/diy-build-your-own-birdhouse.html.csp,Kelly Lyon,2016-05-13 11:12:05,https://www.youtube.com/watch?v=sCBAbc7N4iE
Something’s always blooming at Oregon Garden,http://registerguard.com/rg/video/34363962-319/somethings-always-blooming-at-oregon-garden.html.csp,Collin Andrew,2016-05-12 14:48:45,http://www.youtube.com/watch?v=NWBYVw3ttEk
"Cottage comfort, indoors and out",http://registerguard.com/rg/video/34360627-319/cottage-comfort-indoors-and-out.html.csp,,2016-05-11 16:38:00,https://www.youtube.com/watch?v=s_ZEdXSZJo4
What’s up with SUP?,http://registerguard.com/rg/video/34359625-319/whats-up-with-sup.html.csp,Kelly Lyon,2016-05-11 12:28:05,https://www.youtube.com/watch?v=djrT5BC7GSg
Mesmerizing tour of Cape Blanco Light Station,http://registerguard.com/rg/video/34352693-319/mesmerizing-tour-of-cape-blanco-light-station.html.csp,Collin Andrew,2016-05-09 12:12:07,https://www.youtube.com/watch?v=MoJ48Ab9l94
Trump rallies the faithful in Eugene,http://registerguard.com/rg/video/34346328-319/trump-rallies-the-faithful-in-eugene.html.csp,Chris Pietsch,2016-05-06 22:28:00,http://www.youtube.com/watch?v=seIDp9djb7s
Trump supporters and protestors meet at the Lane County Fairgrounds,http://registerguard.com/rg/video/34346242-319/trump-supporters-and-protestors-meet-at-the-lane-county-fairgrounds.html.csp,Kelly Lyon,2016-05-06 21:38:00,https://www.youtube.com/watch?v=huGnqVwYGzw
Grand paddling at Port Orford Heads,http://registerguard.com/rg/video/34340898-319/grand-paddling-at-port-orford-heads.html.csp,Collin Andrew,2016-05-05 10:32:13,https://www.youtube.com/watch?v=wEzoNzSiwxQ
Oregon’s Hoke debuts the 4-3 D,http://registerguard.com/rg/video/34333319-319/oregons-hoke-debuts-the-4-3-d.html.csp,Chris Pietsch,2016-05-03 06:16:00,https://www.youtube.com/watch?v=zICEV66oB8c
Bernie Sanders in Springfield,http://registerguard.com/rg/video/34318665-319/bernie-sanders-in-springfield.html.csp,Chris Pietsch,2016-04-28 16:38:01,https://www.youtube.com/watch?v=PkrgTdPRX78
Supporters feel the Bern,http://registerguard.com/rg/video/34318206-319/supporters-feel-the-bern.html.csp,Kelly Lyon,2016-04-28 14:22:01,https://www.youtube.com/watch?v=bnOKeHZp_nA
Oregon spring football: Installing the 4-3 defense,http://registerguard.com/rg/video/34297287-319/oregon-spring-football-installing-the-4-3-defense.html.csp,Chris Pietsch,2016-04-22 17:16:01,https://www.youtube.com/watch?v=Z-KCah8iIt0
