headline,url,author,pubdate
"Oregon fans treated to rain, sleet and Ducks",http://registerguard.com/rg/video/35466952-319/oregon-fans-treated-to-rain-sleet-and-ducks.html.csp,Chris Pietsch,2017-04-09 08:52:24
Learn to catch a trout with a fly rod,http://registerguard.com/rg/video/35457452-319/learn-to-catch-a-trout-with-a-fly-rod.html.csp,Kelly Fenley,2017-04-07 16:18:00
Plane crash north of Harrisburg,http://registerguard.com/rg/video/35460939-319/plane-crash-north-of-harrisburg.html.csp,Kelly Lyon,2017-04-07 14:36:00
Oregon’s Coach Leavitt is raring to go,http://registerguard.com/rg/video/35460505-319/oregons-coach-leavitt-is-raring-to-go.html.csp,Chris Pietsch,2017-04-07 12:18:01
One for the books,http://registerguard.com/rg/video/35459904-319/one-for-the-books.html.csp,Kelly Lyon,2017-04-07 07:57:22
Oregon spring football begins,http://registerguard.com/rg/video/35452953-319/oregon-spring-football-begins.html.csp,Chris Pietsch,2017-04-05 13:24:01
Terrifying Beauty,http://registerguard.com/rg/video/35432149-319/terrifying-beauty.html.csp,Kelly Lyon,2017-03-30 07:22:22
"New blooms, old treasures",http://registerguard.com/rg/video/35411182-319/new-blooms-old-treasures.html.csp,Kim Gilbert,2017-03-24 13:36:09
Oregon takes experience into Sweet 16 matchup,http://registerguard.com/rg/video/35410025-319/oregon-takes-experience-into-sweet-16-matchup.html.csp,Andy Nelson,2017-03-23 09:35:00
The Press Box: Oregon faces a tough Michigan team,http://registerguard.com/rg/video/35410023-319/the-press-box-oregon-faces-a-tough-michigan-team.html.csp,Andy Nelson,2017-03-23 09:33:01
March Madness for Oregon Women,http://registerguard.com/rg/video/35378278-319/march-madness-for-oregon-women.html.csp,Chris Pietsch,2017-03-14 10:59:01
A Picasso of a dog,http://registerguard.com/rg/video/35364286-319/a-picasso-of-a-dog.html.csp,Chris Pietsch,2017-03-10 07:34:23
"Tasty, hearty ‘kalettes’ and fresh new strawberries",http://registerguard.com/rg/video/35360653-319/tasty-hearty-kalettes-and-fresh-new-strawberries.html.csp,Collin Andrew,2017-03-09 10:48:10
Spartans make it to state quarterfinals,http://registerguard.com/rg/video/35359447-319/spartans-make-it-to-state-quarterfinals.html.csp,Kelly Lyon,2017-03-08 22:18:02
One-of-a-kind furniture puzzles,http://registerguard.com/rg/video/35356670-319/one-of-a-kind-furniture-puzzles.html.csp,Kelly Lyon,2017-03-08 10:15:22
A Hamlin tour,http://registerguard.com/rg/video/35335007-319/a-hamlin-tour.html.csp,Kelly Lyon,2017-03-02 07:31:25
One smart cookie,http://registerguard.com/rg/video/35316970-319/one-smart-cookie.html.csp,Kelly Lyon,2017-02-25 07:53:22
New flavors at Novo,http://registerguard.com/rg/video/35308011-319/new-flavors-at-novo.html.csp,Kelly Lyon,2017-02-22 15:49:39
Dainty gardens in jars,http://registerguard.com/rg/video/35288913-319/dainty-gardens-in-jars.html.csp,Collin Andrew,2017-02-16 09:03:05
Be the change,http://registerguard.com/rg/video/35287755-319/be-the-change.html.csp,Kelly Lyon,2017-02-15 21:44:00
Retro-style downsize,http://registerguard.com/rg/video/35282520-319/retro-style-downsize.html.csp,Kelly Lyon,2017-02-14 15:33:53
Past meets present at Deepwood estate,http://registerguard.com/rg/video/35265533-319/past-meets-present-at-deepwood-estate.html.csp,Collin Andrew,2017-02-10 13:55:40
Abandoned puppy rescued,http://registerguard.com/rg/video/35269390-319/abandoned-puppy-rescued.html.csp,Chris Pietsch,2017-02-10 12:37:01
A drone tour of south Willamette Street,http://registerguard.com/rg/video/35266330-319/a-drone-tour-of-south-willamette-street.html.csp,Rob Romig,2017-02-09 15:56:01
Hoping for help,http://registerguard.com/rg/video/35259069-319/hoping-for-help.html.csp,Kelly Lyon,2017-02-07 17:09:01
Shot fired during Super Bowl,http://registerguard.com/rg/video/35253585-319/shot-fired-during-super-bowl.html.csp,Chris Pietsch,2017-02-05 21:30:00
On a snowshoe trek,http://registerguard.com/rg/video/35237918-319/on-a-snowshoe-trek.html.csp,Kelly Fenley,2017-02-03 09:57:23
A taste of Lola’s Fruit Shrubs,http://registerguard.com/rg/video/35242723-319/a-taste-of-lolas-fruit-shrubs.html.csp,Kelly Lyon,2017-02-02 15:37:01
World Hijab Day,http://registerguard.com/rg/video/35239575-319/world-hijab-day.html.csp,Kelly Lyon,2017-02-01 19:07:01
Signing day: The #DoSomething brand,http://registerguard.com/rg/video/35239042-319/signing-day-the-dosomething-brand.html.csp,Chris Pietsch,2017-02-01 16:55:01
Signing Day: Negatives and positives,http://registerguard.com/rg/video/35238032-319/signing-day-negatives-and-positives.html.csp,Chris Pietsch,2017-02-01 12:22:01
Good Walks: Winter wander along Willamette River,http://registerguard.com/rg/video/35221999-319/good-walks-winter-wander-along-willamette-river.html.csp,Kim Gilbert,2017-01-27 12:01:32
Cultivating a culinary treasure,http://registerguard.com/rg/video/35198928-319/cultivating-a-culinary-treasure.html.csp,Kelly Lyon,2017-01-20 17:06:35
Patience through woodcrafting,http://registerguard.com/rg/video/35195503-319/patience-through-woodcrafting.html.csp,Kelly Lyon,2017-01-19 17:49:01
Cascading river getaway,http://registerguard.com/rg/video/35183871-319/cascading-river-getaway.html.csp,Kelly Lyon,2017-01-16 09:31:02
Damaged tree triage,http://registerguard.com/rg/video/35172666-319/damaged-tree-triage.html.csp,Kelly Lyon,2017-01-12 15:21:19
United in pink,http://registerguard.com/rg/video/35166240-319/united-in-pink.html.csp,Kelly Lyon,2017-01-10 18:45:01
Call a spade a flower,http://registerguard.com/rg/video/35164750-319/call-a-spade-a-flower.html.csp,Kelly Lyon,2017-01-10 09:57:10
Treacherous driving conditions,http://registerguard.com/rg/video/35156018-319/treacherous-driving-conditions.html.csp,Chris Pietsch,2017-01-07 13:27:01
So what if it’s winter! Work it out,http://registerguard.com/rg/video/35152938-319/so-what-if-its-winter-work-it-out.html.csp,Kelly Lyon,2017-01-06 09:51:41
First snowstorm of 2017,http://registerguard.com/rg/video/35146140-319/first-snowstorm-of-2017.html.csp,Chris Pietsch,2017-01-04 10:45:01
Counting for a cause,http://registerguard.com/rg/video/35139508-319/counting-for-a-cause.html.csp,Kelly Lyon,2017-01-01 19:08:01
Springfield’s Flame,http://registerguard.com/rg/video/35129683-319/springfields-flame.html.csp,Kelly Lyon,2016-12-29 08:51:08
Good Walks: Glad ocean tidings in Newport,http://registerguard.com/rg/video/35117627-319/good-walks-glad-ocean-tidings-in-newport.html.csp,Kim Gilbert,2016-12-23 10:41:20
Pushing for Power,http://registerguard.com/rg/video/35112508-319/pushing-for-power.html.csp,Kelly Lyon,2016-12-21 18:48:01
Drone video: Storm’s icy grip,http://registerguard.com/rg/video/35098240-319/drone-video-storms-icy-grip.html.csp,Rob Romig,2016-12-16 22:02:02
Ice storm cuts off Hawkins Heights,http://registerguard.com/rg/video/35093619-319/ice-storm-cuts-off-hawkins-heights.html.csp,Chris Pietsch,2016-12-15 13:43:01
Ice storm: Car found in pond,http://registerguard.com/rg/video/35093247-319/ice-storm-car-found-in-pond.html.csp,Collin Andrew,2016-12-15 11:51:01
Readers get a holiday treat,http://registerguard.com/rg/video/35091410-319/readers-get-a-holiday-treat.html.csp,Kelly Lyon,2016-12-14 20:03:01
"Life, football and bringin' the “juice!”",http://registerguard.com/rg/video/35074759-319/life-football-and-bringin-the-juice.html.csp,Chris Pietsch,2016-12-09 15:59:01
Monster project house,http://registerguard.com/rg/video/35071471-319/monster-project-house.html.csp,,2016-12-08 15:56:05
